line_name,operator_name,day_of_week,hour,avg_arrival_delay,avg_departure_delay,num_trips
IC,Schweizerische Bundesbahnen SBB,Sunday,17.0,3.8882352941176466,1.2236111111111112,17
IC,Schweizerische Bundesbahnen SBB,Sunday,18.0,0.5499999999999999,0.90625,12
IC,Schweizerische Bundesbahnen SBB,Sunday,19.0,1.7476190476190474,2.4583333333333335,7
IC,Schweizerische Bundesbahnen SBB,Sunday,20.0,1.6,2.1714285714285713,10
IC,Schweizerische Bundesbahnen SBB,Sunday,21.0,4.209259259259259,5.169047619047619,9
IC,Schweizerische Bundesbahnen SBB,Sunday,22.0,4.188095238095237,2.5666666666666664,7
IC,Schweizerische Bundesbahnen SBB,Sunday,23.0,3.3984848484848484,4.210416666666667,11
IC,Schweizerische Bundesbahnen SBB,Thursday,0.0,-0.11666666666666667,,1
IC,Schweizerische Bundesbahnen SBB,Thursday,6.0,1.1166666666666667,,1
IC,Schweizerische Bundesbahnen SBB,Thursday,7.0,1.1722222222222223,1.6333333333333333,3
IC,Schweizerische Bundesbahnen SBB,Thursday,8.0,0.6833333333333332,1.0944444444444443,6
